"Index","MDLZ.BV_per_share","NRG.BV_per_share","IT.BV_per_share","NTAP.BV_per_share","XRAY.BV_per_share","MPWR.BV_per_share","AMP.BV_per_share","LMT.BV_per_share","URI.BV_per_share","LKQ.BV_per_share","PNR.BV_per_share","FRT.BV_per_share","EA.BV_per_share","CCI.BV_per_share","RF.BV_per_share","WEC.BV_per_share","WY.BV_per_share","UPS.BV_per_share","O.BV_per_share","SBAC.BV_per_share","ISRG.BV_per_share","REG.BV_per_share","PM.BV_per_share","CSCO.BV_per_share","MRO.BV_per_share","DG.BV_per_share","SBUX.BV_per_share","AMAT.BV_per_share","STT.BV_per_share","T.BV_per_share","NOC.BV_per_share","ED.BV_per_share","CLX.BV_per_share","ULTA.BV_per_share","AAL.BV_per_share","ES.BV_per_share","WAT.BV_per_share","PPL.BV_per_share","TSCO.BV_per_share","AES.BV_per_share","EXPE.BV_per_share","ZBH.BV_per_share","TRV.BV_per_share","DRI.BV_per_share","BRO.BV_per_share","NKE.BV_per_share","FITB.BV_per_share","CMA.BV_per_share","ARE.BV_per_share","LRCX.BV_per_share","CSX.BV_per_share","BMY.BV_per_share","TROW.BV_per_share","TEL.BV_per_share","DGX.BV_per_share","ANSS.BV_per_share","MTCH.BV_per_share","BKNG.BV_per_share","MGM.BV_per_share","WFC.BV_per_share","TAP.BV_per_share","SWKS.BV_per_share","BDX.BV_per_share","MCHP.BV_per_share","BR.BV_per_share","TRMB.BV_per_share","CBRE.BV_per_share","DUK.BV_per_share","POOL.BV_per_share","DFS.BV_per_share","PVH.BV_per_share","INTU.BV_per_share","HSIC.BV_per_share","GPN.BV_per_share","CF.BV_per_share","TER.BV_per_share","MMM.BV_per_share","NEM.BV_per_share","MA.BV_per_share","HOLX.BV_per_share","EW.BV_per_share","A.BV_per_share","APA.BV_per_share","ANTM.BV_per_share","GL.BV_per_share","NFLX.BV_per_share","TT.BV_per_share","AME.BV_per_share","NVR.BV_per_share","WMB.BV_per_share","HES.BV_per_share","NDAQ.BV_per_share","NWL.BV_per_share","PEP.BV_per_share","CB.BV_per_share","ALL.BV_per_share","PPG.BV_per_share","VZ.BV_per_share","CNP.BV_per_share","USB.BV_per_share","PRU.BV_per_share","CE.BV_per_share","F.BV_per_share","RL.BV_per_share","IRM.BV_per_share","JNPR.BV_per_share","FFIV.BV_per_share","BXP.BV_per_share","ADSK.BV_per_share","D.BV_per_share","AEE.BV_per_share","NTRS.BV_per_share","FDS.BV_per_share","PNW.BV_per_share","HD.BV_per_share","MU.BV_per_share","CMI.BV_per_share","ALK.BV_per_share","PWR.BV_per_share","CAH.BV_per_share","KO.BV_per_share","DAL.BV_per_share","PHM.BV_per_share","NDSN.BV_per_share","V.BV_per_share","AVB.BV_per_share","DXCM.BV_per_share","SEE.BV_per_share","GNRC.BV_per_share","PG.BV_per_share","SIVB.BV_per_share","VFC.BV_per_share","CDNS.BV_per_share","CTXS.BV_per_share","SCHW.BV_per_share","ATO.BV_per_share","DISCK.BV_per_share","BLK.BV_per_share","VMC.BV_per_share","EL.BV_per_share","ROST.BV_per_share","EQIX.BV_per_share","TMUS.BV_per_share","AXP.BV_per_share","FDX.BV_per_share","INTC.BV_per_share","AAP.BV_per_share","LOW.BV_per_share","AFL.BV_per_share","PAYX.BV_per_share","AMGN.BV_per_share","ACN.BV_per_share","TYL.BV_per_share","RCL.BV_per_share","WYNN.BV_per_share","GS.BV_per_share","VRSK.BV_per_share","WM.BV_per_share","ECL.BV_per_share","PH.BV_per_share","IVZ.BV_per_share","UAA.BV_per_share","MRK.BV_per_share","EMN.BV_per_share","CVX.BV_per_share","EMR.BV_per_share","AMZN.BV_per_share","SBNY.BV_per_share","HAS.BV_per_share","EIX.BV_per_share","UNP.BV_per_share","CHD.BV_per_share","VRTX.BV_per_share","RSG.BV_per_share","NSC.BV_per_share","RHI.BV_per_share","AON.BV_per_share","MS.BV_per_share","ILMN.BV_per_share","MAA.BV_per_share","MAR.BV_per_share","ESS.BV_per_share","EBAY.BV_per_share","FE.BV_per_share","HPQ.BV_per_share","KMB.BV_per_share","FCX.BV_per_share","CRM.BV_per_share","XOM.BV_per_share","MOH.BV_per_share","IDXX.BV_per_share","WST.BV_per_share","ETN.BV_per_share","AEP.BV_per_share","ALGN.BV_per_share","REGN.BV_per_share","SLB.BV_per_share","PFE.BV_per_share","HON.BV_per_share","SPG.BV_per_share","MAS.BV_per_share","TFC.BV_per_share","ADI.BV_per_share","LDOS.BV_per_share","EFX.BV_per_share","AAPL.BV_per_share","RTX.BV_per_share","BWA.BV_per_share","PKI.BV_per_share","WELL.BV_per_share","GILD.BV_per_share","KIM.BV_per_share","ITW.BV_per_share","EOG.BV_per_share","KR.BV_per_share","PGR.BV_per_share","OMC.BV_per_share","IEX.BV_per_share","HIG.BV_per_share","UNH.BV_per_share","MTB.BV_per_share","TDG.BV_per_share","SRE.BV_per_share","WHR.BV_per_share","HRL.BV_per_share","KEY.BV_per_share","DVN.BV_per_share","RE.BV_per_share","JPM.BV_per_share","MO.BV_per_share","MSI.BV_per_share","FTNT.BV_per_share","SYY.BV_per_share","GOOGL.BV_per_share","MDT.BV_per_share","DE.BV_per_share","DRE.BV_per_share","ABC.BV_per_share","VTRS.BV_per_share","WDC.BV_per_share","AZO.BV_per_share","BIIB.BV_per_share","PARA.BV_per_share","AMT.BV_per_share","ABT.BV_per_share","ROK.BV_per_share","DIS.BV_per_share","AVY.BV_per_share","DTE.BV_per_share"
"2009-01-31",NA,NA,NA,4.62,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,6.29,NA,NA,NA,5.53,NA,NA,NA,NA,NA,4.24,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,19.4,6.34,NA,NA,NA,NA,NA,NA,NA,NA,NA,7.45,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,5.79,NA,NA,NA,NA,NA,10.48,NA,NA,NA,NA,NA,NA,NA,NA,8.37,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,1.96,NA,NA,NA,NA,NA,NA,12.28,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,16.46,NA,NA,1.39,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,8.25,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,4.08,NA,NA,NA,NA,NA,NA,NA,NA,NA,3.81,NA,NA,NA,NA,NA,NA,NA,NA,NA,11.67,15.52,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"2009-02-28",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,10.78,NA,4.24,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,12.46,NA,NA,NA,5.69,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,9.46,NA,NA,6.1,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,50,NA,NA,NA,NA,3.69,NA,3.09,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,-3.42,NA,NA,NA,NA,NA,NA,NA,NA
"2009-03-31",15.25,29.09,0.05,NA,11.31,4.98,30.29,7.25,-0.93,3.76,20.4,18.98,9.7,10.64,24.2,14.84,8.51,6.81,14.72,5.48,3.45,24.12,3.12,NA,30.38,NA,1.78,NA,31.9,16.56,37.14,36.28,-2.22,NA,-10.91,NA,6.91,14.78,4.22,11.55,16.66,25.83,45.27,NA,4.53,NA,20.98,47.52,51.41,11.96,2.32,6.64,9.63,15.44,19.06,13.27,NA,16.92,14.79,25.12,33.02,5.86,20.06,4.08,5.66,4.84,1.05,49.92,4.79,NA,NA,NA,11.21,NA,5.89,3.48,14.6,21.36,1.72,9.36,1.4,NA,43.98,44.22,10.61,0.85,NA,5.49,257.59,15.27,37.09,21.07,5.83,7.76,43.82,22.89,9.13,28.36,5.92,15.89,31.79,0.33,-6.81,27.57,8.99,11.16,9.53,34.81,NA,18.15,34.08,29.17,NA,31.63,NA,NA,16.98,4.52,13.62,23.4,4.56,0.67,9,NA,6.54,38.07,0.33,12.11,NA,20.85,39.24,8.1,0.56,10.7,3.71,23.69,20.13,260.26,31.52,4.2,NA,24.59,11.9,13.51,NA,6.99,12.39,NA,5.56,NA,19.75,NA,3.22,31.58,14.79,137.48,NA,12.59,6.74,27.84,14.92,0.88,10.43,10.49,43.81,10.93,6.8,16.44,9.88,33.61,15.53,4.95,4.09,19.35,26.46,6.33,20.46,45.49,6.95,15.54,3.76,45.41,8.64,27.18,NA,9.21,9.81,NA,22.82,13.56,3.78,7.12,18.44,26.87,3.44,5.12,14.78,8.96,10.08,14.4,8.19,28.87,NA,NA,10.9,0.97,17.82,8.53,12.99,31.08,2.77,15.07,14.77,18.21,NA,6.32,11.38,14.31,24.24,18.1,62.15,14.86,34.48,41.36,NA,20.41,29.16,81.95,45.29,1.35,28.59,NA,5.65,47.26,NA,NA,19.47,9.14,8.69,13.3,NA,20.86,12.6,7.75,11.64,11.19,18.28,10.36,37.54
"2009-04-30",NA,NA,NA,5.37,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,6.45,NA,NA,NA,5.32,NA,NA,NA,NA,NA,4.35,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,19.85,8.05,NA,NA,NA,NA,NA,NA,NA,NA,NA,7.05,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,5.82,NA,NA,NA,NA,NA,10.57,NA,NA,NA,NA,NA,NA,NA,NA,8.6,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,2.04,NA,NA,NA,NA,NA,NA,12.51,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,16.96,NA,NA,1.5,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,8.31,39.53,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,4.36,NA,NA,NA,NA,NA,NA,NA,NA,NA,3.92,NA,NA,NA,NA,NA,NA,NA,NA,NA,11.78,16.26,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"2009-05-31",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,11.53,NA,4.48,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,15.4,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,10.51,NA,NA,5.55,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,43.67,NA,NA,NA,NA,3.72,NA,4.14,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,-0.84,NA,NA,NA,NA,NA,NA,NA,NA
"2009-06-30",16.53,30.55,0.38,NA,12.14,5.25,32.83,7.34,-0.77,3.89,20.91,18.84,9.29,11.14,15.77,14.96,8.28,6.83,14.56,5.89,3.72,24.51,3.44,NA,30.81,NA,1.9,NA,24.5,16.78,38.19,36.24,-1.26,NA,-10.72,NA,7.65,15.53,4.63,12.34,17.27,27.09,47.44,NA,4.64,NA,17.23,46.94,53.45,11.48,2.4,7.05,10.08,15.43,20.28,13.74,NA,20.13,11.44,26,36.3,6.01,21.77,3.98,6.53,5.05,1.71,49.53,5.74,NA,NA,NA,12.04,NA,6.97,3.49,16.07,22.42,2.06,9.57,1.48,NA,44.55,46.63,14.09,0.81,NA,5.89,266.91,15.21,37.85,22.26,6.42,9.25,49.27,28.17,10.21,29.16,6.14,13.02,40.38,1.73,-2.92,28.4,9.63,11.13,9.86,36.59,NA,18.5,34.33,25.39,NA,31.98,NA,NA,17.81,4.82,13.78,24.24,5.08,1.26,8.31,NA,6.74,37.42,0.04,13.05,NA,21.73,39.98,8.26,0.32,11.24,3.98,23.76,20.99,259.6,32.28,4.23,NA,28.3,12.19,11.29,NA,6.98,13.24,NA,6.79,NA,21.04,NA,3.47,32.97,15.05,122.99,NA,12.94,7.66,27.11,15.68,0.9,10.78,10.85,44.12,11.52,7.54,18.14,9.94,33.06,15.88,5.25,4.05,19.77,26.82,6.33,21.89,37.86,7.57,15.79,3.98,46.73,9.24,29.53,NA,11.53,10.72,NA,23.13,13.95,4.02,7.77,20.2,26.77,3.58,5.12,15.64,9.37,11.38,17.53,8.59,22.82,NA,NA,11.77,1.03,19.55,8.93,13.49,30.96,2.94,12.43,15.85,18.54,NA,7.24,13.15,14.88,41.2,18.72,62.75,15.8,35.64,46.82,NA,13.87,30.82,91.21,39.44,1.62,29.34,NA,5.85,49.99,NA,NA,15.09,9.37,9.54,14.19,NA,21.62,12.76,7.81,12.89,11.32,18.85,11.43,37.57
"2009-07-31",NA,NA,NA,5.8,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,6.69,NA,NA,NA,5.26,NA,NA,NA,NA,NA,4.48,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,20.43,7.92,NA,NA,NA,NA,NA,NA,NA,NA,NA,7.21,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,6.03,NA,NA,NA,NA,NA,11.25,NA,NA,NA,NA,NA,NA,NA,NA,9.29,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,2.14,NA,NA,NA,NA,NA,NA,12.98,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,17.44,NA,NA,1.62,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,8.43,41.26,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,4.49,NA,NA,NA,NA,NA,NA,NA,NA,NA,4.04,NA,NA,NA,NA,NA,NA,NA,NA,NA,11.88,17.56,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"2009-08-31",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,12.01,NA,4.67,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,15.45,NA,NA,NA,5.13,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,10.72,NA,NA,8.18,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,44.04,NA,NA,NA,NA,3.78,NA,4.75,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,-8.52,NA,NA,NA,NA,NA,NA,NA,NA
"2009-09-30",17.08,31.51,0.78,NA,12.81,5.78,36.83,8.25,-0.3,4.01,21.55,19.85,8.17,10.88,15.67,15.04,8.45,7.1,14.41,5.46,4.04,23.67,3.51,NA,31.2,NA,2.06,NA,27.19,16.95,39.49,40.28,-0.34,NA,-8.6,NA,8.25,15.79,4.81,12.83,18.27,28.07,51.4,NA,4.77,NA,17.21,46.55,53.5,11.82,2.46,7.27,10.65,15.27,21.31,14.19,NA,27.43,9.74,27.55,38,6.42,21.69,3.97,6.36,5.2,1.59,50.07,5.51,NA,NA,NA,11.47,NA,7.25,3.57,18.25,24.29,2.49,10.58,1.61,NA,45.68,49.17,17.8,0.61,NA,6.12,282.03,15.19,39.77,23.55,6.63,10.15,55.71,32.71,11.18,29.78,6.63,13.53,53.63,4.78,-2.2,30.26,10.08,11.34,10.2,36.6,NA,18.97,33.98,25.77,NA,33.82,NA,NA,18.85,5.49,14.26,13.63,5.28,1.16,8.71,NA,6.85,37.86,-0.2,13.68,NA,22.94,41.95,8.7,0.36,11.64,4.22,23.52,21.27,265.44,32.58,4.72,NA,29.1,12.68,11.73,NA,7.07,13.65,NA,8.43,NA,22.5,NA,3.56,34.8,15.39,127.38,NA,13.29,8.29,28.44,17.31,0.97,12.02,11.33,45.47,11.58,8.28,19.05,10.71,33.78,16.28,5.49,3.37,19.9,27.36,6.29,22.37,38.43,8.01,15.59,2.76,44.13,9.86,27.86,NA,13.26,11.55,NA,23.62,14.22,4.27,8.25,21.13,27.37,3.47,5.25,16.22,8.21,12.57,18.01,8.76,23.48,NA,NA,12.37,1.26,20.95,9.3,13.72,31.22,3.19,12.65,16.45,18.86,NA,8.13,13.73,15.31,45.64,19.86,64.47,16.73,36.52,49.89,NA,12.73,32.99,100.74,41.19,1.8,30.03,NA,6.28,53.2,NA,NA,13.43,9.43,10.05,15.66,NA,22.81,13.11,8.07,13.82,9.26,19.48,12.36,38.03
"2009-10-31",NA,NA,NA,6.23,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,6.96,NA,NA,NA,5.29,NA,NA,NA,NA,NA,4.65,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,22.11,7.19,NA,NA,NA,NA,NA,NA,NA,NA,NA,7.27,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,6.23,NA,NA,NA,NA,NA,11.39,NA,NA,NA,NA,NA,NA,NA,NA,5.49,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,2.23,NA,NA,NA,NA,NA,NA,13.15,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,17.24,NA,NA,1.74,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,8.67,42.4,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,3.76,NA,NA,NA,NA,NA,NA,NA,NA,NA,3.98,NA,NA,NA,NA,NA,NA,NA,NA,NA,12.32,11.39,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
