"","x"
"1","EOG"
"2","ALK"
"3","ES"
"4","KLAC"
"5","CAG"
"6","HAL"
"7","DAL"
"8","VRSK"
"9","AON"
"10","JNPR"
"11","MTD"
"12","MOH"
"13","COP"
"14","IPGP"
"15","MRO"
"16","LH"
"17","BKR"
"18","UAL"
"19","INCY"
"20","UNH"
"21","LIN"
"22","TGT"
"23","APA"
"24","EVRG"
"25","HRL"
"26","CPRT"
"27","TJX"
"28","SRE"
"29","ADP"
"30","SNA"
"31","AJG"
"32","EXC"
"33","HSIC"
"34","LDOS"
"35","CME"
"36","HUM"
"37","ECL"
"38","ABT"
"39","SNPS"
"40","TDY"
"41","LUMN"
"42","BDX"
"43","ACN"
"44","BLK"
"45","ETR"
"46","IPG"
"47","SPGI"
"48","ZBH"
"49","JBHT"
"50","MNST"
"51","PNW"
"52","ITW"
"53","DISCK"
"54","RSG"
"55","CCI"
"56","KIM"
"57","CMI"
"58","FMC"
"59","IDXX"
"60","CSCO"
"61","QCOM"
"62","LKQ"
"63","CTAS"
"64","STE"
"65","STX"
"66","MSFT"
"67","AIG"
"68","MPWR"
"69","D"
"70","MAR"
"71","F"
"72","AMGN"
"73","ULTA"
"74","IVZ"
"75","FISV"
"76","SCHW"
"77","ALB"
"78","XOM"
"79","NTRS"
"80","GNRC"
"81","DXC"
"82","TFX"
"83","PPG"
"84","WEC"
"85","NI"
"86","WRB"
"87","LUV"
"88","GRMN"
"89","UHS"
"90","PSA"
"91","AVB"
"92","CVX"
"93","GE"
"94","AEP"
"95","INTC"
"96","JPM"
"97","PEG"
"98","AEE"
"99","TYL"
"100","AAPL"
"101","EXPD"
"102","CNC"
"103","DFS"
"104","NRG"
"105","CHD"
"106","LRCX"
"107","BMY"
"108","BIO"
"109","SWKS"
"110","CLX"
"111","TTWO"
"112","WMT"
"113","HOLX"
"114","CI"
"115","EQR"
"116","PWR"
"117","SPG"
"118","COST"
"119","ROST"
"120","MAS"
"121","EXR"
"122","PKG"
"123","V"
"124","NEE"
"125","VZ"
"126","HD"
"127","CMCSA"
"128","APH"
"129","CHRW"
"130","GWW"
"131","HES"
"132","J"
"133","DHR"
"134","DHI"
"135","BWA"
"136","DRI"
"137","GLW"
"138","WFC"
"139","WDC"
"140","WAB"
"141","AAL"
"142","DUK"
"143","IFF"
"144","BKNG"
"145","PKI"
"146","DPZ"
"147","FDX"
"148","EW"
"149","BBWI"
"150","RE"
"151","JCI"
"152","EFX"
"153","SJM"
"154","DXCM"
"155","VMC"
"156","RJF"
"157","STT"
"158","LOW"
"159","TEL"
"160","ALL"
"161","PARA"
"162","TPR"
"163","POOL"
"164","TECH"
"165","FAST"
"166","TSN"
"167","PNC"
"168","NTAP"
"169","ORLY"
"170","PM"
"171","TER"
"172","C"
"173","TROW"
"174","APD"
"175","WMB"
"176","LEN"
"177","PBCT"
"178","ADSK"
"179","UPS"
"180","GPN"
"181","BRO"
"182","MGM"
"183","ATO"
"184","EBAY"
"185","ED"
"186","WAT"
"187","RMD"
"188","CAT"
"189","MAA"
"190","KEY"
"191","MKTX"
"192","HON"
"193","PGR"
"194","ADM"
"195","UDR"
"196","MCHP"
"197","JKHY"
"198","ILMN"
"199","ICE"
"200","DVA"
"201","KMX"
"202","DE"
"203","INTU"
"204","MHK"
"205","GPC"
"206","AES"
"207","SBUX"
"208","AKAM"
"209","ABC"
"210","SO"
"211","DRE"
"212","CBRE"
"213","MSCI"
"214","AVY"
"215","KO"
"216","PAYX"
"217","CMA"
"218","PG"
"219","ZION"
"220","WYNN"
"221","AFL"
"222","CTRA"
"223","PHM"
"224","ROK"
"225","GL"
"226","LVS"
"227","TDG"
"228","ALGN"
"229","BSX"
"230","CB"
"231","PNR"
"232","CMG"
"233","GS"
"234","TRMB"
"235","IP"
"236","PTC"
"237","WHR"
"238","DISCA"
"239","MET"
"240","ESS"
"241","CMS"
"242","ADBE"
"243","DTE"
"244","DG"
"245","DLTR"
"246","IT"
"247","CTXS"
"248","K"
"249","ADI"
"250","NDSN"
