"","x"
"1","MMM"
"2","AOS"
"3","ABT"
"4","ABMD"
"5","ACN"
"6","ATVI"
"7","ADM"
"8","ADBE"
"9","ADP"
"10","AAP"
"11","AES"
"12","AFL"
"13","A"
"14","AIG"
"15","APD"
"16","AKAM"
"17","ALK"
"18","ALB"
"19","ARE"
"20","ALGN"
"21","LNT"
"22","ALL"
"23","GOOGL"
"24","GOOG"
"25","MO"
"26","AMZN"
"27","AMD"
"28","AEE"
"29","AAL"
"30","AEP"
"31","AXP"
"32","AMT"
"33","AWK"
"34","AMP"
"35","ABC"
"36","AME"
"37","AMGN"
"38","APH"
"39","ADI"
"40","ANSS"
"41","ANTM"
"42","AON"
"43","APA"
"44","AAPL"
"45","AMAT"
"46","AIZ"
"47","T"
"48","ATO"
"49","ADSK"
"50","AZO"
"51","AVB"
"52","AVY"
"53","BKR"
"54","BLL"
"55","BAC"
"56","BBWI"
"57","BAX"
"58","BDX"
"59","WRB"
"60","BIO"
"61","TECH"
"62","BIIB"
"63","BLK"
"64","BK"
"65","BA"
"66","BKNG"
"67","BWA"
"68","BXP"
"69","BSX"
"70","BMY"
"71","AVGO"
"72","BR"
"73","BRO"
"74","CHRW"
"75","CDNS"
"76","CPB"
"77","COF"
"78","CAH"
"79","KMX"
"80","CCL"
"81","CAT"
"82","CBRE"
"83","CE"
"84","CNC"
"85","CNP"
"86","CERN"
"87","CF"
"88","CRL"
"89","SCHW"
"90","CHTR"
"91","CVX"
"92","CMG"
"93","CB"
"94","CHD"
"95","CI"
"96","CINF"
"97","CTAS"
"98","CSCO"
"99","C"
"100","CTXS"
"101","CLX"
"102","CME"
"103","CMS"
"104","KO"
"105","CTSH"
"106","CL"
"107","CMCSA"
"108","CMA"
"109","CAG"
"110","COP"
"111","ED"
"112","STZ"
"113","COO"
"114","CPRT"
"115","GLW"
"116","COST"
"117","CTRA"
"118","CCI"
"119","CSX"
"120","CMI"
"121","CVS"
"122","DHI"
"123","DHR"
"124","DRI"
"125","DVA"
"126","DE"
"127","DAL"
"128","XRAY"
"129","DVN"
"130","DXCM"
"131","DLR"
"132","DFS"
"133","DISCA"
"134","DISCK"
"135","DISH"
"136","DIS"
"137","DG"
"138","DLTR"
"139","D"
"140","DPZ"
"141","DOV"
"142","DTE"
"143","DUK"
"144","DRE"
"145","DD"
"146","DXC"
"147","EMN"
"148","ETN"
"149","EBAY"
"150","ECL"
"151","EIX"
"152","EW"
"153","EA"
"154","EMR"
"155","ETR"
"156","EOG"
"157","EFX"
"158","EQIX"
"159","EQR"
"160","ESS"
"161","EL"
"162","RE"
"163","EVRG"
"164","ES"
"165","EXC"
"166","EXPE"
"167","EXPD"
"168","EXR"
"169","XOM"
"170","FFIV"
"171","FDS"
"172","FAST"
"173","FRT"
"174","FDX"
"175","FITB"
"176","FE"
"177","FIS"
"178","FISV"
"179","FMC"
"180","F"
"181","FTNT"
"182","BEN"
"183","FCX"
"184","AJG"
"185","GRMN"
"186","IT"
"187","GE"
"188","GNRC"
"189","GD"
"190","GIS"
"191","GPC"
"192","GILD"
"193","GL"
"194","GPN"
"195","GS"
"196","GWW"
"197","HAL"
"198","HIG"
"199","HAS"
"200","PEAK"
"201","HSIC"
"202","HSY"
