% LIQUIDITY FACTORS OF PASTOR AND STAMBAUGH (JPE 2003) UPDATED THROUGH DEC 2021
% Column 1: Month
% Column 2: Levels of aggregated liquidity (Figure 1 in the paper)
% Column 3: Innovations in aggregated liquidity (non-traded liquidity factor; equation(8); the main series)
% Column 4: Traded liquidity factor (LIQ_V, 10-1 portfolio return)
% Note: The traded factor is the value-weighted return on the 10-1 portfolio from a sort on historical
% liquidity betas. This procedure is simpler than sorting on predicted betas (as in the original study)
% and through 2021 it is similarly successful at creating a spread in post-ranking betas. The traded
% factor has a positive and significant alpha through 2021, consistent with liquidity risk being priced.
%
% Month	Agg Liq.	Innov Liq (eq8)	Traded Liq (LIQ_V)
196208	 -0.01753665	  0.00426023	-99
196209	 -0.00407476	  0.01147633	-99
196210	 -0.10421182	 -0.07479163	-99
196211	 -0.01974170	  0.02843548	-99
196212	 -0.00508932	  0.01463853	-99
196301	 -0.05579688	  0.00905296	-99
196302	  0.01440415	  0.02619550	-99
196303	 -0.02345353	 -0.02054689	-99
196304	  0.05413256	  0.07702770	-99
196305	  0.00354149	 -0.01331133	-99
196306	  0.00959259	 -0.00231619	-99
196307	  0.01432622	  0.01944132	-99
196308	  0.03377117	  0.03770538	-99
196309	 -0.00754051	  0.01892017	-99
196310	  0.02680674	  0.03168925	-99
196311	 -0.05313628	 -0.06088392	-99
196312	 -0.02057456	  0.01217648	-99
196401	 -0.07136865	 -0.05455765	-99
196402	 -0.02474947	  0.01256749	-99
196403	  0.03138953	  0.04257202	-99
196404	 -0.04066632	 -0.02842692	-99
196405	 -0.02572531	 -0.00734378	-99
196406	 -0.05656731	 -0.01053608	-99
196407	  0.05819052	  0.05646450	-99
196408	 -0.04851473	 -0.04501370	-99
196409	 -0.00816173	  0.01124312	-99
196410	  0.01293438	  0.03847276	-99
196411	  0.01488576	 -0.00482622	-99
196412	 -0.02673007	 -0.01513283	-99
196501	  0.03792484	  0.06951601	-99
196502	 -0.01642848	  0.02163858	-99
196503	  0.03397015	  0.01651155	-99
196504	  0.02236123	  0.03956662	-99
196505	 -0.01294328	  0.03284560	-99
196506	 -0.16340986	 -0.11319135	-99
